"BehaviorSpace results (NetLogo 6.1.0)"
"COVID SIMULS.nlogo"
"Australia"
"04/16/2020 21:48:38:239 +1000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-30","30","-40","40"
"[run number]","maxv","RestrictedMovement","days_of_cash_reserves","Proportion_Time_Avoid","pta","cruise","TimeLockDownOff","Track_and_Trace_Efficiency","Treatment_Benefit","FearTrigger","Diffusion_Adjustment","total_population","Triggerday","lockdown_off","se_incubation","quarantine","spatial_distance","Global_Transmissability","minv","Initial","Proportion_People_Avoid","freewheel","self_capacity","dynamic_behaviour","Compliance_with_Isolation","Illness_period","stimulus","WFH_Capacity","Bed_Capacity","ReInfectionRate","ppa","se_compliance","Age_Isolation","Severity_of_illness","ProductionRate","phwarnings","AsymptomaticPercentage","Population","Mean_Individual_Income","current_cases","Available_Resources","saliency_of_experience","Decay_limit","scale","se_illnesspd","ICU_Beds_in_Australia","Media_Exposure","initialassociationstrength","Superspreaders","care_attitude","Contact_Radius","Hospital_Beds_in_Australia","link_switch","Incubation_Period","case_isolation","policytriggeron","ICU_Required","Speed","[step]","count turtles","ticks","numberInfected","deathcount","casefatalityrate","ICUBedsRequired","DailyCases","CurrentInfections","EliminationDate","MeanR","Lockdown_Off"
"6","1","0","30","85","85","false","162","0.1","4","50","10","11000000","72","false","0.2","false","false","50","0","1","85","false","0.8","false","100","15","true","33","4","0","85","1","0","15","5","0.8","33","2500","55000","1","0","1","0.5","true","1","4200","50","0","10","0.5","0","65000","false","5","false","true","5","1","0","2501","0","0","0","0","0","0","0","0","0","false"
"3","1","0","30","85","85","false","162","0.1","4","50","10","11000000","72","false","0.2","false","false","50","0","1","85","false","0.8","false","100","15","true","33","4","0","85","1","0","15","5","0.8","33","2500","55000","1","0","1","0.5","true","1","4200","50","0","10","0.5","0","65000","false","5","false","true","5","1","0","2501","0","0","0","0","0","0","0","0","0","false"
"4","1","0","30","85","85","false","162","0.1","4","50","10","11000000","72","false","0.2","false","false","50","0","1","85","false","0.8","false","100","15","true","33","4","0","85","1","0","15","5","0.8","33","2500","55000","1","0","1","0.5","true","1","4200","50","0","10","0.5","0","65000","false","5","false","true","5","1","0","2501","0","0","0","0","0","0","0","0","0","false"
"5","1","0","30","85","85","false","162","0.1","4","50","10","11000000","72","false","0.2","false","false","50","0","1","85","false","0.8","false","100","15","true","33","4","0","85","1","0","15","5","0.8","33","2500","55000","1","0","1","0.5","true","1","4200","50","0","10","0.5","0","65000","false","5","false","true","5","1","0","2501","0","0","0","0","0","0","0","0","0","false"
"2","1","0","30","85","85","false","162","0.1","4","50","10","11000000","72","false","0.2","false","false","50","0","1","85","false","0.8","false","100","15","true","33","4","0","85","1","0","15","5","0.8","33","2500","55000","1","0","1","0.5","true","1","4200","50","0","10","0.5","0","65000","false","5","false","true","5","1","0","2501","0","0","0","0","0","0","0","0","0","false"
"8","1","0","30","85","85","false","162","0.1","4","50","10","11000000","72","false","0.2","false","false","50","0","1","85","false","0.8","false","100","15","true","33","4","0","85","1","0","15","5","0.8","33","2500","55000","1","0","1","0.5","true","1","4200","50","0","10","0.5","0","65000","false","5","false","true","5","1","0","2501","0","0","0","0","0","0","0","0","0","false"
"7","1","0","30","85","85","false","162","0.1","4","50","10","11000000","72","false","0.2","false","false","50","0","1","85","false","0.8","false","100","15","true","33","4","0","85","1","0","15","5","0.8","33","2500","55000","1","0","1","0.5","true","1","4200","50","0","10","0.5","0","65000","false","5","false","true","5","1","0","2501","0","0","0","0","0","0","0","0","0","false"
"1","1","0","30","85","85","false","162","0.1","4","50","10","11000000","72","false","0.2","false","false","50","0","1","85","false","0.8","false","100","15","true","33","4","0","85","1","0","15","5","0.8","33","2500","55000","1","0","1","0.5","true","1","4200","50","0","10","0.5","0","65000","false","5","false","true","5","1","0","2501","0","0","0","0","0","0","0","0","0","false"
"5","1","0","30","85","85","false","162","0.1","4","50","10","11000000","72","false","0.2","false","false","50","0","1","85","false","0.8","false","100","15","true","33","4","0","85","1","0","15","5","0.8","33","2500","55000","1","0","1","0.5","true","1","4200","50","0","10","0.5","0","65000","false","5","false","true","5","1","1","2501","1","0","0","0","0","0","1","0","0","false"
"6","1","0","30","85","85","false","162","0.1","4","50","10","11000000","72","false","0.2","false","false","50","0","1","85","false","0.8","false","100","15","true","33","4","0","85","1","0","15","5","0.8","33","2500","55000","1","0","1","0.5","true","1","4200","50","0","10","0.5","0","65000","false","5","false","true","5","1","1","2501","1","0","0","0","0","0","1","0","0","false"
"4","1","0","30","85","85","false","162","0.1","4","50","10","11000000","72","false","0.2","false","false","50","0","1","85","false","0.8","false","100","15","true","33","4","0","85","1","0","15","5","0.8","33","2500","55000","1","0","1","0.5","true","1","4200","50","0","10","0.5","0","65000","false","5","false","true","5","1","1","2501","1","0","0","0","0","0","1","0","0","false"
"3","1","0","30","85","85","false","162","0.1","4","50","10","11000000","72","false","0.2","false","false","50","0","1","85","false","0.8","false","100","15","true","33","4","0","85","1","0","15","5","0.8","33","2500","55000","1","0","1","0.5","true","1","4200","50","0","10","0.5","0","65000","false","5","false","true","5","1","1","2501","1","0","0","0","0","0","1","0","0","false"
"8","1","0","30","85","85","false","162","0.1","4","50","10","11000000","72","false","0.2","false","false","50","0","1","85","false","0.8","false","100","15","true","33","4","0","85","1","0","15","5","0.8","33","2500","55000","1","0","1","0.5","true","1","4200","50","0","10","0.5","0","65000","false","5","false","true","5","1","1","2501","1","0","0","0","0","0","1","0","0","false"
"2","1","0","30","85","85","false","162","0.1","4","50","10","11000000","72","false","0.2","false","false","50","0","1","85","false","0.8","false","100","15","true","33","4","0","85","1","0","15","5","0.8","33","2500","55000","1","0","1","0.5","true","1","4200","50","0","10","0.5","0","65000","false","5","false","true","5","1","1","2501","1","0","0","0","1","0","1","0","0","false"
"7","1","0","30","85","85","false","162","0.1","4","50","10","11000000","72","false","0.2","false","false","50","0","1","85","false","0.8","false","100","15","true","33","4","0","85","1","0","15","5","0.8","33","2500","55000","1","0","1","0.5","true","1","4200","50","0","10","0.5","0","65000","false","5","false","true","5","1","1","2501","1","0","0","0","0","0","1","0","0","false"
"1","1","0","30","85","85","false","162","0.1","4","50","10","11000000","72","false","0.2","false","false","50","0","1","85","false","0.8","false","100","15","true","33","4","0","85","1","0","15","5","0.8","33","2500","55000","1","0","1","0.5","true","1","4200","50","0","10","0.5","0","65000","false","5","false","true","5","1","1","2501","1","0","0","0","0","0","2","0","0","false"
"5","1","0","30","85","85","false","162","0.1","4","50","10","11000000","72","false","0.2","false","false","50","0","1","85","false","0.8","false","100","15","true","33","4","0","85","1","0","15","5","0.8","33","2500","55000","1","0","1","0.5","true","1","4200","50","0","10","0.5","0","65000","false","5","false","true","5","1","2","2501","2","0","0","0","0","0","1","0","0","false"
"6","1","0","30","85","85","false","162","0.1","4","50","10","11000000","72","false","0.2","false","false","50","0","1","85","false","0.8","false","100","15","true","33","4","0","85","1","0","15","5","0.8","33","2500","55000","1","0","1","0.5","true","1","4200","50","0","10","0.5","0","65000","false","5","false","true","5","1","2","2501","2","0","0","0","0","0","1","0","0","false"
"4","1","0","30","85","85","false","162","0.1","4","50","10","11000000","72","false","0.2","false","false","50","0","1","85","false","0.8","false","100","15","true","33","4","0","85","1","0","15","5","0.8","33","2500","55000","1","0","1","0.5","true","1","4200","50","0","10","0.5","0","65000","false","5","false","true","5","1","2","2501","2","0","0","0","0","0","1","0","0","false"
"3","1","0","30","85","85","false","162","0.1","4","50","10","11000000","72","false","0.2","false","false","50","0","1","85","false","0.8","false","100","15","true","33","4","0","85","1","0","15","5","0.8","33","2500","55000","1","0","1","0.5","true","1","4200","50","0","10","0.5","0","65000","false","5","false","true","5","1","2","2501","2","0","0","0","0","0","1","0","0","false"
"2","1","0","30","85","85","false","162","0.1","4","50","10","11000000","72","false","0.2","false","false","50","0","1","85","false","0.8","false","100","15","true","33","4","0","85","1","0","15","5","0.8","33","2500","55000","1","0","1","0.5","true","1","4200","50","0","10","0.5","0","65000","false","5","false","true","5","1","2","2501","2","0","0","0","1","0","1","0","0","false"
"8","1","0","30","85","85","false","162","0.1","4","50","10","11000000","72","false","0.2","false","false","50","0","1","85","false","0.8","false","100","15","true","33","4","0","85","1","0","15","5","0.8","33","2500","55000","1","0","1","0.5","true","1","4200","50","0","10","0.5","0","65000","false","5","false","true","5","1","2","2501","2","0","0","0","0","0","1","0","0","false"
"7","1","0","30","85","85","false","162","0.1","4","50","10","11000000","72","false","0.2","false","false","50","0","1","85","false","0.8","false","100","15","true","33","4","0","85","1","0","15","5","0.8","33","2500","55000","1","0","1","0.5","true","1","4200","50","0","10","0.5","0","65000","false","5","false","true","5","1","2","2501","2","0","0","0","0","0","1","0","0","false"
"5","1","0","30","85","85","false","162","0.1","4","50","10","11000000","72","false","0.2","false","false","50","0","1","85","false","0.8","false","100","15","true","33","4","0","85","1","0","15","5","0.8","33","2500","55000","1","0","1","0.5","true","1","4200","50","0","10","0.5","0","65000","false","5","false","true","5","1","3","2501","3","0","0","0","0","0","2","0","0","false"
"6","1","0","30","85","85","false","162","0.1","4","50","10","11000000","72","false","0.2","false","false","50","0","1","85","false","0.8","false","100","15","true","33","4","0","85","1","0","15","5","0.8","33","2500","55000","1","0","1","0.5","true","1","4200","50","0","10","0.5","0","65000","false","5","false","true","5","1","3","2501","3","0","0","0","0","0","1","0","0","false"
